ano,tot_disc,am.sul,am.latina,periodo,dif,am.sul1,am.sul2,am.lat1,am.lat2
1985,16,5,70,1,65,5,98,70,498
1986,15,9,225,1,216,9,61,225,158
1987,13,16,105,1,89,16,135,105,292
1988,20,21,113,1,92,21,114,113,210
1989,17,80,140,1,60,80,100,140,193
1990,14,18,254,1,236,18,130,254,355
1991,19,39,371,1,332,39,91,371,147
1992,16,4,175,1,171,4,270,175,217
1993,15,14,264,1,250,14,159,264,194
1994,17,1,143,1,142,1,220,143,135
1995,16,12,86,1,74,12,342,86,389
1996,17,33,135,1,102,33,188,135,201
1997,43,39,304,1,265,39,205,304,300
1998,51,109,272,1,163,109,217,272,684
1999,43,74,327,1,253,74,303,327,465
2000,51,98,498,2,400,,89,,341
2001,47,61,158,2,97,,,,
2002,43,135,292,2,157,,,,
2003,45,114,210,2,96,,,,
2004,37,100,193,2,93,,,,
2005,39,130,355,2,225,,,,
2006,41,91,147,2,56,,,,
2007,38,270,217,2,-53,,,,
2008,44,159,194,2,35,,,,
2009,42,220,135,2,-85,,,,
2010,54,342,389,2,47,,,,
2011,42,188,201,2,13,,,,
2012,49,205,300,2,95,,,,
2013,37,217,684,2,467,,,,
2014,60,303,465,2,162,,,,
2015,54,89,341,2,252,,,,
